,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,season,home_attack,home_defence,away_attack,away_defence
53,2017-09-23 15:00:00,Everton,Bournemouth,2,1,2.21092,0.384728,2017,0.6454484991832371,1.1074589139107305,0.43179691113552254,1.2658246837557894
54,2017-09-23 15:00:00,Swansea,Watford,1,2,1.50811,1.25817,2017,0.6171379329866512,2.006415862049028,1.244466748092044,0.378561333421509
55,2017-09-23 15:00:00,Stoke,Chelsea,0,4,0.600959,1.59815,2017,0.7557497198865596,1.523532355746993,0.8464082193859849,0.7148530020831028
56,2017-09-23 15:00:00,Southampton,Manchester United,0,1,0.802062,1.07247,2017,1.0782998513935445,0.7578901913737277,2.428560071692876,0.6218063663845537
57,2017-09-23 17:30:00,Leicester,Liverpool,2,3,2.88766,1.92902,2017,1.0816335343163312,0.5370518077274536,1.515600342680738,1.780881852175002
58,2017-09-24 16:00:00,Brighton,Newcastle United,1,0,0.507341,1.37001,2017,0.22166290814632938,1.2463243588390809,0.9139803434632248,0.5771967585396568
59,2017-09-25 20:00:00,Arsenal,West Bromwich Albion,2,0,2.39316,0.766652,2017,1.675537805449938,0.9270019738800597,0.6898300439461164,0.5892618202487931
60,2017-09-30 12:30:00,Huddersfield,Tottenham,0,4,0.196648,1.56089,2017,0.5460225953204871,0.9158101877729288,1.8166300147590546,0.5414792357706016
61,2017-09-30 15:00:00,Manchester United,Crystal Palace,4,0,3.47508,0.244321,2017,1.9322875425726396,0.7128656670213971,0.9267921503431295,2.0084680291249564
62,2017-09-30 15:00:00,Stoke,Southampton,2,1,2.68136,1.42781,2017,0.6229542916729657,1.5015138217081814,0.8654592730158956,1.187236009304195
63,2017-09-30 15:00:00,West Bromwich Albion,Watford,2,2,1.93896,1.62462,2017,0.6336897181330859,0.49110521955508774,1.212210503629998,0.5812839743806396
64,2017-09-30 15:00:00,West Ham,Swansea,1,0,0.692185,0.178568,2017,0.8787168492977742,0.8121853869495138,0.4612460845492214,0.9402411255479592
65,2017-09-30 15:00:00,Bournemouth,Leicester,0,0,1.39901,0.594808,2017,0.5748875516796865,1.4551872325382882,1.0201228264303044,1.3340410144533918
66,2017-09-30 17:30:00,Chelsea,Manchester City,0,1,0.911532,1.23068,2017,0.7138666523632998,0.7128008456330299,2.3505331572811876,0.3246765205181482
67,2017-10-01 12:00:00,Arsenal,Brighton,2,0,2.47818,0.386343,2017,1.6213601243126474,0.8638548028958228,0.5996186469347209,0.7775735009611281
68,2017-10-01 14:15:00,Everton,Burnley,0,1,0.93376,0.383977,2017,0.8836128920887929,0.8806854405227217,0.48732566305115455,1.2754443023736017
69,2017-10-01 16:30:00,Newcastle United,Liverpool,1,1,0.280437,1.64475,2017,1.318030213615489,1.1214807163041187,1.6327120680582112,1.7869786233096472
70,2017-10-14 12:30:00,Liverpool,Manchester United,0,0,1.92702,0.230358,2017,1.8712861394300795,0.480942804936467,2.0054640344446164,0.5738060550571092
71,2017-10-14 15:00:00,Burnley,West Ham,1,1,0.70219,0.835192,2017,0.4763277220004675,0.8476207613317139,0.7037494116712936,1.3695978812932945
72,2017-10-14 15:00:00,Crystal Palace,Chelsea,2,1,1.51873,0.651919,2017,0.8425045911019031,1.2004489536181557,1.091766120082548,0.5866924745343794
73,2017-10-14 15:00:00,Manchester City,Stoke,7,2,4.45388,0.681236,2017,2.196799708593458,0.5898783351824676,0.6078691914099543,0.9335909534664983
74,2017-10-14 15:00:00,Swansea,Huddersfield,2,0,1.65446,0.596086,2017,0.7235322978761773,1.7924035922170967,0.7510504838467719,0.7257401808766212
75,2017-10-14 15:00:00,Tottenham,Bournemouth,1,0,1.95684,0.17504,2017,0.9330236258195239,0.521808411545089,0.42157418018936915,1.290468563364554
76,2017-10-14 17:30:00,Watford,Arsenal,2,1,1.63418,0.988468,2017,0.6993160293700897,2.4494277011730285,1.073371005891154,1.053682085046742
77,2017-10-15 13:30:00,Brighton,Everton,1,1,1.05884,1.45518,2017,0.25291199199465614,1.3301990390299032,0.6447603557475997,1.1996455499411314
78,2017-10-15 16:00:00,Southampton,Newcastle United,2,2,1.71445,0.950997,2017,0.8863167354473683,0.8678701666514792,1.0881057957533515,0.48621431093953094
79,2017-10-16 20:00:00,Leicester,West Bromwich Albion,1,1,0.964277,0.155254,2017,1.3148784698456288,0.9976959326920822,0.7378627071920548,0.8942436430336757
80,2017-10-20 20:00:00,West Ham,Brighton,0,3,0.569111,1.98345,2017,0.7163487565435689,0.6429662922154612,0.5714870399305618,0.9776099743406642
81,2017-10-21 15:00:00,Huddersfield,Manchester United,2,1,1.26744,0.807135,2017,0.43730119349673063,1.1056257924376678,1.6152694386594577,0.7395665496995256
82,2017-10-21 15:00:00,Manchester City,Burnley,3,0,3.71812,0.14859,2017,2.360620880820304,0.618392919391422,0.4724271369350203,1.1139921383287354
83,2017-10-21 15:00:00,Newcastle United,Crystal Palace,1,0,0.270313,0.566845,2017,1.0338273370970652,1.2631202867983957,0.8010978407719321,2.0362836893587914
84,2017-10-21 15:00:00,Stoke,Bournemouth,1,2,1.60117,1.11834,2017,0.8932253246262196,1.5474368996596122,0.36654450423093193,1.2790911630188244
85,2017-10-21 15:00:00,Swansea,Leicester,1,2,0.559618,1.80814,2017,0.8080889351007825,1.5226121898274914,0.9605787181918788,1.204168810186854
86,2017-10-21 17:30:00,Southampton,West Bromwich Albion,1,0,2.02288,0.504128,2017,0.9425969946955217,0.8855499789535562,0.5952801138775895,0.8380580832995923
87,2017-10-21 19:30:00,Chelsea,Watford,4,2,1.78315,1.79693,2017,0.6840563984525394,0.8690313370898165,1.3826165140873528,0.7402362155072618
88,2017-10-22 13:30:00,Everton,Arsenal,2,5,0.810989,3.86029,2017,0.815557766129545,0.782995427253632,1.0459269398962578,1.0646519735929796
89,2017-10-22 16:00:00,Tottenham,Liverpool,4,1,2.62043,0.667771,2017,1.014902672344274,0.4326270475579643,1.616490087450121,1.3876522601073387
90,2017-10-28 12:30:00,Manchester United,Tottenham,1,0,0.943496,1.08708,2017,1.968212962979312,0.6167372619822847,1.7840125814188212,0.4312253535839701
91,2017-10-28 15:00:00,Liverpool,Huddersfield,3,0,2.14257,0.0554802,2017,1.6975182491856735,0.4206502980438964,0.7065257973135848,0.8081310831468935
92,2017-10-28 15:00:00,Watford,Stoke,0,1,1.13448,0.778883,2017,0.7973024538235641,2.023972684202728,0.6188914627366333,1.4182915156970868
93,2017-10-28 15:00:00,Arsenal,Swansea,2,1,2.37777,0.8355,2017,1.612496182148405,0.7563997522260669,0.40376714013975074,0.7991774664262593
94,2017-10-28 15:00:00,Crystal Palace,West Ham,2,2,2.91672,0.742845,2017,0.8727007915068749,1.0580652024956911,0.7232967464536344,1.175891306440631
