Team,Div,avg_HomeGoalsScored,avg_HomeGoalsConceded,avg_HomeShots,avg_HomeShotsConceded,avg_HomeShotsOnTarget,avg_HomeShotsOnTargetConceded,avg_HomeCorners,avg_HomeCornersConceded,avg_Home_goal_difference,avg_Home_ppg,avg_Home_win_percentage,avg_AwayGoalsConceded,avg_AwayGoalsScored,avg_AwayShotsConceded,avg_AwayShots,avg_AwayShotsOnTargetConceded,avg_AwayShotsOnTarget,avg_AwayCornersConceded,avg_AwayCorners,avg_Away_goal_difference,avg_Away_ppg,avg_Away_win_percentage
Newcastle,2019-20,1.0526315789473684,1.105263157894737,12.263157894736842,14.842105263157896,4.052631578947368,4.473684210526316,4.526315789473684,6.368421052631579,-0.052631578947368585,1.3684210526315788,31.57894736842105,1.9473684210526316,0.9473684210526315,15.0,8.526315789473685,6.052631578947368,2.8421052631578947,6.894736842105263,3.4210526315789473,-1.0,0.9473684210526316,26.31578947368421
Norwich,2019-20,1.0,1.9473684210526316,11.421052631578947,16.05263157894737,3.8421052631578947,5.894736842105263,4.7894736842105265,6.894736842105263,-0.9473684210526316,0.7894736842105263,21.052631578947366,2.0,0.3684210526315789,15.789473684210526,10.052631578947368,5.368421052631579,3.0526315789473686,7.105263157894737,3.736842105263158,-1.631578947368421,0.3157894736842105,5.263157894736842
Sheffield United,2019-20,1.263157894736842,0.7894736842105263,11.0,9.368421052631579,3.6842105263157894,2.9473684210526314,7.0,4.473684210526316,0.4736842105263157,1.736842105263158,52.63157894736842,1.263157894736842,0.7894736842105263,13.263157894736842,7.631578947368421,4.421052631578948,2.3684210526315788,7.0,4.157894736842105,-0.4736842105263157,1.1052631578947367,21.052631578947366
Southampton,2017-18,1.0526315789473684,1.368421052631579,13.263157894736842,11.736842105263158,4.052631578947368,3.8947368421052633,6.578947368421052,4.684210526315789,-0.3157894736842106,1.0,21.052631578947366,1.5789473684210527,0.8947368421052632,14.210526315789474,10.473684210526315,5.052631578947368,3.5789473684210527,5.894736842105263,5.368421052631579,-0.6842105263157895,0.894736842105263,15.789473684210526
Southampton,2018-19,1.4210526315789473,1.5789473684210527,13.578947368421053,12.631578947368421,4.684210526315789,4.157894736842105,5.315789473684211,5.526315789473684,-0.1578947368421053,1.2105263157894737,26.31578947368421,1.8421052631578947,0.9473684210526315,14.894736842105264,11.68421052631579,5.2631578947368425,3.8421052631578947,5.684210526315789,4.842105263157895,-0.8947368421052632,0.8421052631578947,21.052631578947366
Southampton,2019-20,1.105263157894737,1.8421052631578947,12.631578947368421,12.263157894736842,4.052631578947368,5.0,5.157894736842105,5.684210526315789,-0.7368421052631577,1.1052631578947367,31.57894736842105,1.3157894736842106,1.5789473684210527,11.526315789473685,13.68421052631579,3.8421052631578947,5.473684210526316,6.052631578947368,5.894736842105263,0.26315789473684204,1.631578947368421,47.368421052631575
Stoke,2017-18,1.0526315789473684,1.5789473684210527,10.68421052631579,13.894736842105264,3.4210526315789473,5.105263157894737,4.2105263157894735,6.7368421052631575,-0.5263157894736843,1.0526315789473684,26.31578947368421,2.0,0.7894736842105263,16.526315789473685,9.421052631578947,6.473684210526316,3.473684210526316,8.052631578947368,2.9473684210526314,-1.2105263157894737,0.6842105263157894,10.526315789473683
Swansea,2017-18,0.8947368421052632,1.263157894736842,11.263157894736842,11.68421052631579,3.6315789473684212,4.526315789473684,5.0,4.2631578947368425,-0.36842105263157887,1.1052631578947367,31.57894736842105,1.6842105263157894,0.5789473684210527,16.63157894736842,6.421052631578948,5.526315789473684,1.8421052631578947,6.0,2.8947368421052633,-1.1052631578947367,0.631578947368421,10.526315789473683
Tottenham,2017-18,2.1052631578947367,0.8421052631578947,18.57894736842105,9.0,6.315789473684211,3.263157894736842,7.526315789473684,3.736842105263158,1.263157894736842,2.2631578947368425,68.42105263157895,1.0526315789473684,1.7894736842105263,9.68421052631579,14.157894736842104,3.3684210526315788,5.105263157894737,4.684210526315789,5.421052631578948,0.736842105263158,1.7894736842105263,52.63157894736842
Tottenham,2018-19,1.7894736842105263,0.8421052631578947,16.210526315789473,11.473684210526315,5.526315789473684,4.368421052631579,5.368421052631579,4.2631578947368425,0.9473684210526316,2.0,63.1578947368421,1.2105263157894737,1.736842105263158,12.894736842105264,12.0,4.0,4.421052631578948,5.578947368421052,4.842105263157895,0.5263157894736843,1.736842105263158,57.89473684210527
Tottenham,2019-20,1.894736842105263,0.8947368421052632,12.947368421052632,12.578947368421053,4.157894736842105,4.157894736842105,5.7894736842105265,4.631578947368421,0.9999999999999999,2.052631578947368,63.1578947368421,1.5789473684210527,1.3157894736842106,15.631578947368421,10.473684210526315,5.473684210526316,4.2631578947368425,6.2631578947368425,4.7368421052631575,-0.26315789473684204,1.0526315789473684,21.052631578947366
Watford,2017-18,1.4210526315789473,1.631578947368421,12.421052631578947,11.0,3.6842105263157894,4.2631578947368425,5.052631578947368,4.842105263157895,-0.21052631578947367,1.4210526315789473,36.84210526315789,1.736842105263158,0.8947368421052632,10.736842105263158,10.736842105263158,4.157894736842105,3.263157894736842,5.578947368421052,4.631578947368421,-0.8421052631578948,0.7368421052631579,21.052631578947366
Watford,2018-19,1.368421052631579,1.4736842105263157,11.789473684210526,11.368421052631579,4.368421052631579,4.578947368421052,4.7894736842105265,4.842105263157895,-0.10526315789473673,1.4210526315789473,42.10526315789473,1.631578947368421,1.368421052631579,14.421052631578947,11.052631578947368,5.105263157894737,3.5789473684210527,6.2105263157894735,4.526315789473684,-0.26315789473684204,1.2105263157894737,31.57894736842105
Watford,2019-20,1.1578947368421053,1.4210526315789473,12.842105263157896,12.473684210526315,3.263157894736842,4.7894736842105265,4.315789473684211,4.842105263157895,-0.26315789473684204,1.263157894736842,31.57894736842105,1.9473684210526316,0.7368421052631579,13.842105263157896,9.473684210526315,4.842105263157895,3.0526315789473686,5.7368421052631575,4.473684210526316,-1.210526315789474,0.5263157894736842,10.526315789473683
West Brom,2017-18,1.105263157894737,1.5263157894736843,11.052631578947368,12.052631578947368,3.4210526315789473,3.5789473684210527,5.315789473684211,4.578947368421052,-0.42105263157894735,0.9473684210526315,15.789473684210526,1.4210526315789473,0.5263157894736842,15.052631578947368,8.68421052631579,4.684210526315789,2.5789473684210527,4.684210526315789,3.9473684210526314,-0.8947368421052632,0.6842105263157894,15.789473684210526
West Ham,2017-18,1.263157894736842,1.368421052631579,11.105263157894736,11.894736842105264,3.3684210526315788,3.9473684210526314,4.894736842105263,4.105263157894737,-0.10526315789473695,1.4210526315789473,36.84210526315789,2.210526315789474,1.263157894736842,17.63157894736842,8.526315789473685,6.052631578947368,3.6315789473684212,6.842105263157895,3.5789473684210527,-0.9473684210526319,0.7894736842105263,15.789473684210526
West Ham,2018-19,1.6842105263157894,1.4210526315789473,12.894736842105264,11.578947368421053,4.631578947368421,4.578947368421052,5.684210526315789,5.157894736842105,0.26315789473684204,1.631578947368421,47.368421052631575,1.4736842105263157,1.0526315789473684,16.210526315789473,10.31578947368421,5.947368421052632,3.6315789473684212,5.842105263157895,4.157894736842105,-0.42105263157894735,1.1052631578947367,31.57894736842105
West Ham,2019-20,1.5789473684210527,1.736842105263158,11.631578947368421,11.368421052631579,4.684210526315789,4.7368421052631575,5.052631578947368,4.578947368421052,-0.1578947368421053,1.1578947368421053,31.57894736842105,1.5263157894736843,1.0,15.0,10.31578947368421,5.2105263157894735,3.8947368421052633,6.947368421052632,4.947368421052632,-0.5263157894736843,0.894736842105263,21.052631578947366
Wolves,2018-19,1.4736842105263157,1.105263157894737,14.052631578947368,11.789473684210526,4.473684210526316,3.789473684210526,5.7368421052631575,4.7368421052631575,0.36842105263157876,1.7894736842105263,52.63157894736842,1.3157894736842106,1.0,12.210526315789474,10.894736842105264,4.0,3.473684210526316,5.2631578947368425,4.526315789473684,-0.3157894736842106,1.2105263157894737,31.57894736842105
Wolves,2019-20,1.4210526315789473,1.0,12.31578947368421,9.157894736842104,3.736842105263158,3.473684210526316,4.631578947368421,2.8947368421052633,0.42105263157894735,1.631578947368421,42.10526315789473,1.105263157894737,1.263157894736842,11.68421052631579,11.842105263157896,3.3157894736842106,3.8947368421052633,4.894736842105263,5.526315789473684,0.1578947368421051,1.4736842105263157,36.84210526315789
