Team,avg_HomeGoalsScored,avg_HomeGoalsConceded,avg_HomeShots,avg_HomeShotsConceded,avg_HomeShotsOnTarget,avg_HomeShotsOnTargetConceded,avg_HomeCorners,avg_HomeCornersConceded,avg_Home_goal_difference,avg_Home_ppg,avg_Home_win_percentage,avg_AwayGoalsConceded,avg_AwayGoalsScored,avg_AwayShotsConceded,avg_AwayShots,avg_AwayShotsOnTargetConceded,avg_AwayShotsOnTarget,avg_AwayCornersConceded,avg_AwayCorners,avg_Away_goal_difference,avg_Away_ppg,avg_Away_win_percentage,most_recent_season,seasons_count
Huddersfield,0.631578947368421,1.526315789473684,10.75438596491228,11.087719298245613,2.9649122807017543,4.473684210526315,4.771929824561403,3.9824561403508767,-0.894736842105263,0.719298245614035,17.543859649122805,2.1578947368421053,0.631578947368421,14.89473684210526,9.596491228070176,5.12280701754386,3.1228070175438596,5.649122807017544,3.8070175438596485,-1.5263157894736838,0.49122807017543857,8.771929824561402,2018-19,2
Leicester,1.5614035087719298,0.9912280701754386,14.114035087719298,9.675438596491228,4.7105263157894735,3.166666666666666,5.982456140350877,4.456140350877193,0.5701754385964912,1.6842105263157896,49.12280701754386,1.4561403508771928,1.5877192982456139,12.096491228070175,12.75438596491228,4.3508771929824555,4.815789473684211,5.587719298245613,5.324561403508772,0.13157894736842105,1.2719298245614032,35.08771929824561,2019-20,3
Liverpool,2.7280701754385968,0.6842105263157894,17.289473684210527,7.771929824561403,6.7894736842105265,2.5526315789473686,7.298245614035087,3.9473684210526314,2.0438596491228074,2.754385964912281,87.71929824561403,0.9035087719298245,1.8070175438596492,9.114035087719298,13.921052631578945,2.9210526315789473,5.298245614035087,3.578947368421052,5.87719298245614,0.9035087719298246,2.2105263157894735,67.5438596491228,2019-20,3
Man City,3.0350877192982457,0.6754385964912281,20.184210526315788,6.228070175438596,7.473684210526316,2.2368421052631575,7.8508771929824555,2.3333333333333335,2.3596491228070176,2.6228070175438596,85.08771929824562,0.8859649122807017,2.245614035087719,7.342105263157895,17.228070175438596,3.0087719298245608,6.298245614035087,2.587719298245614,7.517543859649123,1.3596491228070176,2.1052631578947367,67.5438596491228,2019-20,3
Man United,1.9649122807017543,0.9649122807017545,15.263157894736842,9.517543859649123,6.131578947368421,3.5964912280701755,5.587719298245614,4.4035087719298245,1.0,2.017543859649123,57.01754385964912,1.1754385964912282,1.5087719298245614,13.140350877192983,12.75438596491228,4.087719298245614,5.087719298245614,5.2894736842105265,5.219298245614035,0.33333333333333326,1.587719298245614,45.61403508771929,2019-20,3
Newcastle,1.131578947368421,1.1403508771929824,12.763157894736842,12.912280701754387,4.052631578947368,3.8596491228070176,4.956140350877193,5.771929824561403,-0.008771929824561472,1.3684210526315788,36.84210526315789,1.640350877192983,0.9473684210526316,14.789473684210526,9.359649122807019,5.37719298245614,3.201754385964912,6.868421052631579,3.6578947368421053,-0.6929824561403508,0.9649122807017544,23.684210526315788,2019-20,3
Norwich,1.0,1.947368421052632,11.421052631578949,16.05263157894737,3.842105263157895,5.894736842105263,4.789473684210527,6.894736842105263,-0.9473684210526316,0.7894736842105263,21.052631578947366,2.0,0.3684210526315789,15.789473684210526,10.052631578947368,5.368421052631579,3.0526315789473686,7.105263157894737,3.736842105263158,-1.631578947368421,0.3157894736842105,5.263157894736842,2019-20,1
Sheffield United,1.263157894736842,0.7894736842105263,11.0,9.36842105263158,3.684210526315789,2.9473684210526314,7.0,4.473684210526316,0.4736842105263157,1.736842105263158,52.63157894736842,1.263157894736842,0.7894736842105263,13.263157894736842,7.631578947368421,4.421052631578948,2.3684210526315788,7.0,4.157894736842105,-0.4736842105263157,1.1052631578947367,21.052631578947366,2019-20,1
Southampton,1.2017543859649122,1.6754385964912282,13.052631578947366,12.298245614035086,4.263157894736842,4.535087719298246,5.447368421052632,5.464912280701754,-0.4736842105263157,1.1228070175438596,28.070175438596486,1.5350877192982457,1.2543859649122808,13.096491228070175,12.482456140350877,4.517543859649123,4.614035087719298,5.9035087719298245,5.456140350877193,-0.2807017543859649,1.2456140350877192,33.33333333333333,2019-20,3
Stoke,1.0526315789473684,1.5789473684210529,10.68421052631579,13.894736842105264,3.421052631578948,5.105263157894737,4.2105263157894735,6.7368421052631575,-0.5263157894736843,1.0526315789473684,26.31578947368421,2.0,0.7894736842105263,16.526315789473685,9.421052631578949,6.473684210526316,3.473684210526316,8.052631578947368,2.9473684210526314,-1.2105263157894737,0.6842105263157894,10.526315789473683,2017-18,1
Swansea,0.8947368421052632,1.263157894736842,11.263157894736842,11.68421052631579,3.631578947368421,4.526315789473684,5.0,4.2631578947368425,-0.3684210526315788,1.1052631578947367,31.57894736842105,1.6842105263157894,0.5789473684210527,16.63157894736842,6.421052631578948,5.526315789473684,1.8421052631578947,6.0,2.8947368421052637,-1.1052631578947367,0.631578947368421,10.526315789473683,2017-18,1
Tottenham,1.894736842105263,0.868421052631579,14.973684210526315,11.614035087719298,4.973684210526315,4.078947368421052,5.93859649122807,4.359649122807017,1.026315789473684,2.070175438596491,64.03508771929825,1.3684210526315792,1.5350877192982457,13.728070175438596,11.596491228070175,4.631578947368421,4.4561403508771935,5.771929824561403,4.885964912280702,0.16666666666666677,1.4035087719298245,38.59649122807018,2019-20,3
Watford,1.2719298245614035,1.4736842105263155,12.421052631578949,11.859649122807017,3.701754385964912,4.631578947368421,4.5964912280701755,4.842105263157895,-0.20175438596491216,1.3421052631578947,35.96491228070175,1.8070175438596494,0.9736842105263157,13.517543859649123,10.210526315789473,4.815789473684211,3.263157894736842,5.868421052631579,4.517543859649123,-0.8333333333333334,0.7894736842105263,19.298245614035086,2019-20,3
West Brom,1.105263157894737,1.5263157894736843,11.052631578947368,12.052631578947368,3.421052631578948,3.5789473684210527,5.315789473684211,4.578947368421052,-0.4210526315789473,0.9473684210526316,15.789473684210526,1.4210526315789471,0.5263157894736842,15.052631578947368,8.68421052631579,4.684210526315789,2.5789473684210527,4.684210526315789,3.947368421052632,-0.8947368421052632,0.6842105263157894,15.789473684210526,2017-18,1
West Ham,1.5614035087719298,1.5701754385964912,11.964912280701753,11.526315789473685,4.447368421052632,4.552631578947368,5.2368421052631575,4.692982456140351,-0.008771929824561486,1.3596491228070176,37.719298245614034,1.6228070175438596,1.0614035087719298,15.842105263157894,10.017543859649123,5.596491228070175,3.7631578947368416,6.56140350877193,4.4561403508771935,-0.5614035087719299,0.9473684210526314,23.684210526315788,2019-20,3
Wolves,1.43859649122807,1.0350877192982457,12.894736842105262,10.035087719298245,3.9824561403508767,3.5789473684210527,5.0,3.5087719298245617,0.4035087719298244,1.6842105263157894,45.61403508771929,1.1754385964912282,1.175438596491228,11.859649122807017,11.526315789473685,3.5438596491228065,3.754385964912281,5.017543859649122,5.192982456140351,-1.3877787807814457e-16,1.3859649122807016,35.08771929824561,2019-20,2
Leeds,1.105263157894737,1.5592105263157894,11.464912280701755,13.219298245614034,3.6885964912280698,4.6118421052631575,5.0,5.440789473684211,-0.4210526315789473,1.1096491228070176,30.921052631578945,1.7763157894736845,0.7894736842105263,16.13157894736842,9.421052631578949,5.326754385964912,3.1228070175438596,6.888157894736842,3.780701754385965,-0.9342105263157895,0.6973684210526315,16.228070175438596,N/A,0
